orr_id, name, location, date, year, lat, lon, type, cause
8659,Molasses Spill,"Honolulu Harbor, HI",2013-Sep-10,2013,21.311597,-157.877484,Other,
8658,F/V ANDRIANNA aground,"Outside Grays Harbor, WA",2013-Sep-06,2013,46.9013888889,-124.134444444,Potential Oil Spill,Grounding
8657,F/V SEA BREAKER sunk,"Pt. Roberts, WA",2013-Sep-05,2013,48.9421666667,-122.993,Potential Oil Spill,Sunken Vessel
8656,S/V Perd Pas Le Nord,"Peard Bay, North Slope, Alaska",2013-Sep-04,2013,70.8568333333,-158.690666667,Potential Oil Spill,Grounding
8653,Mystery Tar Balls,"Cape Canaveral, FL",2013-Aug-28,2013,28.289781,-80.607366,Oil Spill,Mystery Spill
8654,PBF Energy,"Delaware City, DE",2013-Aug-28,2013,39.5777777778,-75.5888888889,Oil Spill,Leaking Tank
8651,Mystery Spill-W Cameron Blk 110,"Gulf of Mexico south of Port Arthur, TX",2013-Aug-22,2013,29.5071666667,-93.3665,Potential Oil Spill,Mystery Spill
8650,"21 foot bayliner, grounded","Sekiu River mouth, WA",2013-Aug-21,2013,48.2879916667,-124.395580556,Potential Oil Spill,Grounding
8645,Tug Doris Moran / Barge Alexandra,"Buzzards Bay, MA",2013-Aug-14,2013,41.6091472222,-70.7926138889,Other,Collision
8643,Cessna 150 Plane Crash,"near Isla Morada, FL",2013-Aug-08,2013,25.3,-80.3,Oil Spill,Plane Crash
8639,Feeling Free,"Woods Hole, MA",2013-Jul-29,2013,41.5147222222,-70.6733333333,Potential Oil Spill,Grounding
8641,Hilcorp Energy at Texaco Canal 28Jul13,"South of Lafitte, LA",2013-Jul-28,2013,29.5833333333,-90.0666666667,Oil Spill,Pipeline Leak
8638,Jack Up Rig Hercules 265,"40 NM south of Timbalier Bay, LA",2013-Jul-23,2013,28.3841666667,-90.5288888889,"Oil Spill, Potential Oil Spill",Well Blowout
8637,"Apollo Energy,Johnson Bayou LA-19Jul13","Johnson Bayou, LA between Port Arthur and Calcasieu R.",2013-Jul-19,2013,29.8252777778,-93.625,Oil Spill,Discharge / Dumping
8635,Mystery Sheen,"Merrimack River, MA",2013-Jul-16,2013,42.8133333333,-70.8666666667,Oil Spill,
8636,"South Pass, LA 16Jul13","South Pass of the Mississippi R delta, LA",2013-Jul-16,2013,29.0569444444,-89.3061111111,Oil Spill,Pipeline Leak
8634,"Taylor Energy Platform ""Saratoga""",Gulf of Mexico off Miss. R delta,2013-Jul-14,2013,28.936,-88.9688333333,Oil Spill,Destroyed oil platform
8629,Running Free,"Marthas Vineyard, MA",2013-Jul-10,2013,41.3303333333,-70.4833333333,Other,Grounding
8627,Wellhead Release,"Ship Shoal Block 225, GOM, Louisiana",2013-Jul-09,2013,28.4666666667,-91.3166666667,Oil Spill,Well Blowout
8625,FV Naknek Spirit,"Poe Bay, Passage Canal, PWS, AK",2013-Jul-06,2013,60.8297,-148.516816667,Oil Spill,Grounding
8621,Sunken Vessel,"Entrance to St Mary's River, MI",2013-Jul-01,2013,46.4737888889,-84.579525,Oil Spill,Sunken Vessel
8617,Antilles Gas Propane leak,"Christianstead, St Croix, USVI",2013-Jun-25,2013,17.7471998333,-64.7052998333,Chemical/Biological Spill,Leaking Tank
8616,"aircraft crash Dorado Beach, Puerto Rico","near shoreline at Dorado Beach, Puerto Rico",2013-Jun-23,2013,18.4736666667,-66.2501666667,Oil Spill,Plane Crash
8614,Mystery Spill,"Michigan City, IN",2013-Jun-18,2013,41.6844805556,-87.00485,"Potential Oil Spill, Potential Chemical/Biological Spill",USCG/State investigation ongoin
8613,Williams Olefin Chemical Plant,"Geismar, LA",2013-Jun-13,2013,30.2339472222,-91.0534722222,Chemical/Biological Spill,Fire / Explosion
8609,BBC Arizona,"Valdez, AK",2013-Jun-11,2013,61.1166666667,-146.266666667,Potential Oil Spill,Leaking Shipping Container
8608,Pacific Coast Seafood Company,"Warrenton, Oregon",2013-Jun-04,2013,46.1677333333,-123.922158333,Potential Chemical/Biological Spill,Fire / Explosion
8607,F/V Neahkanie,"Whidbey Island, WA",2013-Jun-04,2013,48.085,-122.61,Potential Oil Spill,Grounding
8606,M/V Matthew I,"83 NM South of Vieques Island, Puerto Rico",2013-Jun-02,2013,16.7166666667,-65.3833333333,"Oil Spill, Other",Sunken Vessel
8605,F/V Georgia Girl,SE of Tybee Island Georgia,2013-May-31,2013,31.895,-80.8566666667,Potential Oil Spill,Sunken Vessel
8600,M/T Sichem Edinburgh,"20 mi Off Galveston, TX",2013-May-20,2013,29.12,-94.57,Oil Spill,
8601,"ARCTIC STORM fire, potential spill","32 mile west of Grays Harbor, WA",2013-May-20,2013,46.8546722222,-124.922888889,Potential Oil Spill,Fire / Explosion
8596,TUG KALEEN MCALLISTER,"Baltimore, MD",2013-May-06,2013,39.268843,-76.580683,Oil Spill,Collision
8588,Mystery slick off Puerto  Rico,6 miles off SW corner of Puerto Rico,2013-Apr-25,2013,17.9116666667,-67.3033333333,Oil Spill,Mystery Spill
8585,Tug Delta Captain,"Offshore of Point Sur, CA",2013-Apr-13,2013,36.27,-122.155,Potential Oil Spill,Sunken Vessel
8583,Zinc Bromide,"120 mi Offshore, LA",2013-Apr-03,2013,27.265,-90.8083333333,Chemical/Biological Spill,Well Blowout
8584,Hydrogen Sulfide release,"Chalmette, LA",2013-Apr-03,2013,29.9375,-89.9683333333,Chemical/Biological Spill,
8582,Mystery Sheen,"Oahu, HI",2013-Mar-27,2013,21.2376666667,-157.808333333,Oil Spill,
8576,"Mystery Sheen, Timbalier Block 30","5mi Offshore, LA",2013-Mar-12,2013,28.9669444444,-90.3425,Oil Spill,Mystery Spill
8577,SMI 572 Collision,"Bayou Perot, Lafitte, LA",2013-Mar-12,2013,29.6338888889,-90.1772222222,Oil Spill,Collision
8574,Mystery Sheen ,"West Delta 80, LA",2013-Mar-09,2013,28.9955555556,-89.7469444444,Oil Spill,Mystery Spill
8575,UTV JUSTICE Sunk,"MM 161.5, Mississippi River, LA",2013-Mar-09,2013,30.05,-90.84,Potential Oil Spill,Sunken Vessel
8573,Mystery grease balls,"Vashon Island, WA",2013-Mar-07,2013,47.3824833333,-122.393586111,"Oil Spill, Other",Mystery Spill
8571,M/V Helena Star sunk,"Tacoma, WA",2013-Feb-28,2013,47.2767,-122.389413889,Potential Oil Spill,Capsized Vessel
8570,Tug Miss Melinda,"Near Empire Locks, LA",2013-Feb-28,2013,29.2441666667,-89.6028333333,Potential Oil Spill,Sunken Vessel
8572,M/V Champion Express adrift,"Off Half Moon Bay, CA",2013-Feb-28,2013,37.52,-122.686666667,Other,Vessel adrift
8569,Swift Energy Wellhead Allision,"Lake Washington, LA",2013-Feb-26,2013,29.3641666667,-89.7688888889,Oil Spill,Collision
8567,Offshore Collision,"Vermillion Block 94, LA",2013-Feb-26,2013,29.1911111111,-92.2819444444,Potential Oil Spill,Collision
8566,Oily Water Discharge,"Vermillion Bay, LA",2013-Feb-24,2013,29.6730555556,-91.9180555556,Oil Spill,Discharge / Dumping
8565,"Apache Rig, Main Pass 295",20 mi Offshore LA,2013-Feb-15,2013,29.26873232,-88.6344579,Potential Oil Spill,Well Blowout
8564,Barge YON268,"Apra Harbor, Guam",2013-Feb-12,2013,13.4421388889,144.664055556,Potential Oil Spill,Derelict vessel
8562,Barge MOC-12 Allision with Miss. R. Bridge,"Miss R. at Vicksburg, MS",2013-Jan-27,2013,32.31498,-90.90706,Oil Spill,Collision
8557,"UTV Saint Paul, MM 135","North of New Orleans, LA",2013-Jan-17,2013,30.05,-90.51,Potential Oil Spill,Collision
8556,"ORB Exploration, Bayou Sorrel","Outside Baton Rouge, LA",2013-Jan-15,2013,30.1945,-91.4546111111,Oil Spill,Pipeline Leak
8553,M/T Elia,"Baytown, TX",2013-Jan-13,2013,29.7,-95,Oil Spill,Transfer
8549,Shell Drill Rig Kulluk adrift,NW Gulf of Alaska,2012-Dec-29,2012,56.65317,-153.48167,Potential Oil Spill,Grounding
8548,TX Petroleum Investment. Co,"Breton Sound, LA Gulf of Mexico",2012-Dec-26,2012,29.5786111111,-89.1175,Oil Spill,Discharge / Dumping
